ross_inc_id,sitnum,time_since_disco,ic_name
106432,1,1,bloodworth
106432,2,2,bloodworth
69739,3,4,blume
69739,4,5,blume
69739,5,6,blume
54421,1,0,"blumer, katrina"
155330,2,3,bob airhart
155330,3,4,bob airhart
155330,4,5,bob airhart
147580,1,1,bob airhart
161705,4,5,bob allbee
161705,5,6,bob allbee
161705,6,7,bob allbee
161705,7,8,bob allbee
161705,8,9,bob allbee
162437,1,5,bob arthur
102626,2,1,bob bente
55202,1,0,bob berger
55202,2,1,bob berger
159125,4,4,bob fry
160432,3,2,bob fry
160432,4,3,bob fry
160432,5,4,bob fry
143993,2,1,bob fry
143993,3,2,bob fry
143993,4,3,bob fry
143993,5,4,bob fry
162208,2,2,bob fry
162208,3,3,bob fry
146893,2,2,bob fry
146893,3,3,bob fry
146755,2,4,bob fry
146755,3,5,bob fry
146755,4,6,bob fry
141416,3,3,bob fry
141416,4,4,bob fry
141416,5,5,bob fry
141119,4,3,bob fry / rick seidlitz
47142,1,1,bob hill (b3515)
132014,7,7,bob houseman
132014,8,8,bob houseman
144180,3,5,bob houseman
144180,4,6,bob houseman
144180,5,7,bob houseman
144180,6,8,bob houseman
144180,7,9,bob houseman
144180,8,10,bob houseman
144180,9,11,bob houseman
144180,10,12,bob houseman
144180,11,13,bob houseman
144180,12,14,bob houseman
144180,13,15,bob houseman
144180,14,16,bob houseman
144180,15,17,bob houseman
144180,16,18,bob houseman
144180,17,19,bob houseman
144180,18,20,bob houseman
144180,19,21,bob houseman
144180,20,22,bob houseman
144180,21,23,bob houseman
144180,22,24,bob houseman
144180,23,25,bob houseman
145671,1,6,bob houseman
120256,2,2,bob johnson
120256,3,3,bob johnson
103851,2,1,bob johnson
103851,3,2,bob johnson
103851,4,3,bob johnson
146622,2,3,bob johnson
146622,3,4,bob johnson
100393,2,1,bob lineback
160432,1,0,bob mccrea
160432,2,1,bob mccrea
56367,1,0,bob mccrea
56367,2,1,bob mccrea
79528,1,0,bob mccrea
79528,2,1,bob mccrea
53702,1,3,bob means
53702,2,4,bob means
53702,3,5,bob means/dennis strange
70995,2,1,bob rick
54421,2,1,bob rodello
105149,1,0,bob shindelar
132014,3,3,bob sommer
132014,4,4,bob sommer
132014,5,5,bob sommer
132014,6,6,bob sommer
134441,4,25,bob travis
134441,5,30,bob travis
134441,6,33,bob travis
134441,7,36,bob travis
69716,1,0,bob wallen
69716,2,1,bob wallen
69816,1,1,bob wallen
69816,2,2,bob wallen
69816,3,3,bob wallen
50254,1,0,bob wallen
148655,2,1,bobby sutton
148655,3,2,bobby sutton
126509,1,0,bobby sutton
126509,4,3,bobby sutton
126509,5,4,bobby sutton
126509,6,5,bobby sutton
120086,1,0,boehm
50068,1,1,"boehm, rich"
143260,2,1,boespflug
120285,1,0,bolen
120285,2,1,bolen
117870,1,0,boller
52871,1,1,bone/smith
55125,4,7,bonefeld
55125,5,8,bonefeld
55125,6,9,bonefeld
55125,7,10,bonefeld
55125,8,11,bonefeld
55125,9,12,bonefeld
55125,10,13,bonefeld
79539,5,11,bonefeld fumt
55125,11,14,"bonefeld, reidy "
55125,12,15,"bonefeld, reidy "
55125,13,16,"bonefeld, reidy "
55125,14,17,"bonefeld, reidy "
141492,1,0,bones
108823,1,9,borgen
114959,1,1,bowen
115697,1,0,bowers
115697,2,3,bowers
144736,1,1,bowman
147790,1,0,bowman
161334,1,0,boyce
115697,3,7,boyd
115697,4,9,boyd
115697,5,10,boyd
50210,2,1,boyer
114466,2,2,"boykin, holguin (t)"
114466,3,3,"boykin, holguin (t)"
114466,4,4,"boykin, holguin (t)"
114466,5,5,"boykin, holguin (t)"
108602,1,8,brabender
108602,2,12,brabender
141045,1,1,brad borgelli
148306,2,4,brad donahue
156398,18,18,brad mcbratney
156398,19,19,brad mcbratney
57839,1,0,bradsher
112655,1,1,brady schultz
148667,1,0,brain ramsey 
145531,1,1,brandon allen
162507,2,2,brandon cichowski
162507,3,3,brandon cichowski
162507,4,4,brandon cichowski
162058,1,0,brandon coville
77254,1,2,brandon hoffman
156789,2,2,brandon hoffman
156789,3,3,brandon hoffman
53494,1,6,brandon hoffman
103165,1,3,brandon hoffman
103165,2,4,brandon hoffman
103165,3,5,brandon hoffman
103165,4,7,brandon hoffman
148157,4,8,brandon skinner
141909,1,0,"bray, reggie"
141909,2,1,"bray, reggie"
141909,3,2,"bray, reggie"
142085,1,1,"bray, reggie"
131943,3,14,brek hudson
131943,4,15,brek hudson
107582,1,1,bremseth
107582,2,2,bremseth
62217,1,0,brennan blue/bill metcalf
55475,1,1,brent hunter
55475,2,2,brent hunter
105379,1,1,brent johnson
145247,1,2,brent kaiser
145247,2,3,brent kaiser
49767,1,0,brent moon
130876,1,2,brent woffiden
107337,1,2,brett fillis
107337,2,3,brett fillis
160285,2,2,brett fillis
160285,3,3,brett fillis
160285,4,4,brett fillis
160285,5,5,brett fillis
141390,4,3,brett fillis
141390,5,4,brett fillis
132771,1,0,brett ostler/jason curley t
144346,4,11,brett pargman
144346,5,12,brett pargman
144346,6,13,brett pargman
141760,1,0,brett peters
141760,2,1,brett peters
53918,2,1,brian bishop
53918,3,2,brian bishop
53918,4,3,brian bishop
57536,1,0,brian bishop
55680,1,0,brian bishop
55680,2,1,brian bishop
142583,1,0,brian briggs
107730,1,1,brian cresto
144866,1,1,brian cresto
144866,2,2,brian cresto
148466,2,1,brian cresto
148466,3,2,brian cresto
146103,2,3,brian estes 
146103,3,4,brian estes 
146103,4,5,brian estes 
77687,1,0,brian orr
138935,1,0,brian pearson
148137,1,0,brian ramsey
160431,2,6,brian stearns
103580,1,1,brian steinhardt
147997,3,2,brian watts
147997,4,3,brian watts
147997,5,4,brian watts
147997,6,5,brian watts
147997,7,6,brian watts
147997,8,7,brian watts
147997,9,8,brian watts
147997,10,9,brian watts
147209,3,2,brian watts
147209,4,3,brian watts
147209,5,4,brian watts
147209,6,5,brian watts
142268,1,2,brian watts
142268,2,3,brian watts
143561,1,0,brian williams
143561,2,1,brian williams
139761,1,1,briggs
57719,1,3,bright wings
57719,2,4,bright wings
57719,3,5,bright wings
57719,4,6,bright wings
57719,5,7,bright wings
57719,6,8,bright wings
132826,1,0,brinkley
163511,2,3,brinkley
163511,3,4,brinkley
163511,4,5,brinkley
109197,1,0,brinkley
71231,1,1,brinsfield/hayes
142626,1,0,brinton parry
149360,1,2,britton quinlan
105092,1,0,brock
105092,2,1,brock
147209,1,0,brock
55429,2,1,brock
59799,1,0,brock
59799,2,1,brock
149505,2,1,brock uhlig
145120,1,0,brock uhlig
145120,2,1,brock uhlig
145120,3,2,brock uhlig
147084,1,0,brock uhlig
119002,1,0,brock uhlig
119002,2,1,brock uhlig
141353,1,0,brock uhlig
58064,1,1,broderson/holloway
55584,2,4,brollier
161022,1,15,brooks baker
161022,2,22,brooks baker
161022,3,30,brooks baker
108271,1,12,brooks baker
59541,2,12,brothwell
162881,1,0,brown
146068,1,0,brown
162881,2,1,brown & tom kuntz
62310,1,0,browne
62310,2,2,browne
149456,29,55,broyles
149456,30,56,broyles
149456,31,57,broyles
50187,3,9,bruce fields
50187,4,10,bruce fields
102609,6,30,bruce fields
102609,7,31,bruce fields
102609,8,32,bruce fields
117617,5,4,bruce windhorst / bret lewis
117617,6,5,bruce windhorst / bret lewis
117617,2,1,bruce windhorst / bret lewis(t
117617,3,2,bruce windhorst / bret lewis(t
117617,4,3,bruce windhorst / bret lewis(t
120812,2,1,brugger/graham - unified cmd
105929,1,1,bryan brazzeal
107878,1,4,bryan collins
107878,2,5,bryan collins
159482,1,0,bryan pete
159482,2,1,bryan pete
117192,1,0,bryan yeager
118088,2,1,bryant
49789,1,2,bryant
49789,2,3,bryant
124286,1,1,bryant mcgee
125549,2,1,bryant mcgee
146168,1,1,bryce schear
124082,1,0,buchanan
124082,2,1,buchanan
124082,3,2,buchanan
48979,1,1,buck kline
48979,2,2,buck kline
48979,3,3,buck kline
48979,4,4,buck kline
48979,5,5,buck kline
122951,5,6,buck kline
122951,6,7,buck kline
122951,7,8,buck kline
158320,3,3,buck sylvester
72249,1,1,buck sylvester
120537,3,2,buckalew/thomas 
120537,4,3,buckalew/thomas 
115541,1,4,buddy zale
115541,2,5,buddy zale
58065,1,2,buddy zale
58065,2,3,buddy zale
58065,3,4,buddy zale
58065,4,5,buddy zale
58065,5,6,buddy zale
58065,6,7,buddy zale
58065,7,8,buddy zale
58065,8,9,buddy zale
58065,9,10,buddy zale
56988,1,0,bult
57992,1,0,bump
162552,1,0,bunrrner
162552,2,1,bunrrner
58153,1,6,burge
87639,1,0,burgfeld/wright
58920,3,3,burke williams
58920,4,4,burke williams
58920,5,5,burke williams
105189,1,0,burkhammer
131100,2,2,burt/germann(t)/arendt(t)
71094,1,1,burton goode jr.
71094,2,3,burton goode jr.
71094,3,4,burton goode jr.
58090,1,1,bushman
58090,2,2,bushman
58090,3,3,bushman
145239,1,1,bustamante
161336,1,0,bustamonte
96521,2,2,butch wilson
109236,1,2,"butler, jason"
109236,2,10,"butler, jason"
109236,3,23,"butler, jason"
109236,4,26,"butler, jason"
109236,5,27,"butler, jason"
122228,1,6,buzz williams
122228,2,7,buzz williams
148275,1,0,byard lamebull
55208,1,1,byrum
159585,1,1,c. cunningham
159585,2,2,c. cunningham
159585,3,3,c. cunningham
90658,1,0,c. dobson
132018,1,0,c. mcconnell
132018,2,1,c. mcconnell
132018,3,2,c. mcconnell
132018,4,3,c. mcconnell
132018,5,4,c. mcconnell
105221,1,9,c. ruff
105221,2,11,c. ruff
105221,3,14,c. ruff
144365,1,0,c. sarubbi/ s. watkins
144365,2,1,c. sarubbi/ s. watkins
163867,2,6,c. seielstad
163867,3,7,c. seielstad
163867,4,8,c. seielstad
163867,5,9,c. seielstad
163867,6,10,c. seielstad
163867,7,11,c. seielstad
163867,8,12,c. seielstad
125073,1,0,c. ventry
158715,1,1,cachero
110187,1,1,cachero
110187,2,2,cachero
152754,1,0,caleb finch
69737,1,0,cameron todd
57574,1,0,cannon
52510,2,1,capt.. black
108064,1,35,carbonari
108064,2,37,carbonari
133520,1,2,carbonari
57150,1,4,carbonari
162251,2,6,carbonari/ flint(t)
162251,3,10,carbonari/ flint(t)
142491,1,1,carbone
142491,2,2,carbone
142491,3,3,carbone
57718,3,2,carl west
57718,4,3,carl west
78578,2,2,carl west
78578,3,3,carl west
78578,4,4,carl west
78578,5,5,carl west
78578,6,6,carl west
78578,7,7,carl west
78578,8,8,carl west
78578,9,9,carl west
78578,10,10,carl west
78578,11,11,carl west
78578,12,12,carl west
78578,13,13,carl west
78578,14,14,carl west
78578,16,41,carl west
78578,17,42,carl west
78578,18,43,carl west
78578,19,44,carl west
78578,20,45,carl west
132213,2,4,carl west
132213,3,5,carl west
132213,4,6,carl west
132213,5,7,carl west
132213,6,8,carl west
132213,7,9,carl west
58633,3,2,carl west
58633,4,3,carl west
58633,5,4,carl west
133289,3,2,carl west
133289,4,3,carl west
133289,5,4,carl west
133289,6,5,carl west
158302,1,1,carlini/sharp
72060,2,4,carlock
72060,3,8,carlock
72060,4,12,carlock
55639,1,1,carlock
158809,1,5,carlock/flanagan(t)
158809,2,6,carlock/flanagan(t)
131910,1,1,carlos lopez
68260,2,1,carlton joseph
68260,3,2,carlton joseph
67691,2,2,carlton joseph
67691,3,3,carlton joseph
67691,4,4,carlton joseph
76679,1,1,carlton joseph
76679,2,2,carlton joseph
76679,3,3,carlton joseph
93647,2,6,carlton joseph
93647,3,7,carlton joseph
93647,4,8,carlton joseph
93647,5,9,carlton joseph
93647,6,10,carlton joseph
93647,7,11,carlton joseph
49252,1,0,carnes
49252,2,1,carnes
100005,1,0,carnes
117031,1,1,carpenter
117031,2,2,carpenter
157337,2,5,carr
157337,3,12,carr
157337,4,15,carr
155543,2,6,carr/hossulkus
131240,1,0,carriero
131240,2,1,carriero/zabrowski
162401,1,0,carson-hull
162401,2,1,carson-hull
105699,1,8,carver
104004,4,12,cary taylor
104004,5,13,cary taylor
104004,6,14,cary taylor
104004,7,15,cary taylor
104004,8,16,cary taylor
104004,9,23,cary taylor
104004,10,26,cary taylor
104004,11,44,cary taylor
104004,12,45,cary taylor
104004,13,46,cary taylor
104004,14,47,cary taylor
